mass,Int
761.7277222,12685.9
761.7775269,12834.3
761.8273315,13058.9
761.8771362,12853.4
761.927002,11789.5
761.9768066,10861.3
762.0266113,10097.1
762.076416,9740.15
762.1262817,9621.49
762.1760864,9953.63
762.2258911,10803.8
762.2756958,12954
762.3255615,19803.8
762.3753662,33118.7
762.4251709,52410.2
762.4749756,66198.4
762.5248413,49529.9
762.574646,25325
762.6244507,15685.4
762.6742554,12670.1
762.7241211,11669
762.7739258,11161.3
762.8237305,11324.6
762.8735352,11003.4
762.9233398,10342.5
762.9732056,9766.85
763.0230103,9477.5
763.0728149,9278.05
763.1226196,9358.74
763.1724854,9929.78
763.22229,11446.2
763.2720947,14761.6
763.3218994,22858.5
763.3717651,37023.8
763.4215698,50093.5
763.4713745,52080.3
763.5211792,43318.8
763.5710449,31531.5
763.6208496,18853.8
763.6706543,13656
763.720459,12325.6
763.7703247,12258.8
763.8201294,12303.5
763.8699341,12072
763.9197388,11513.9
763.9695435,11114.9
764.0194092,10799.2
764.0692139,10537.7
764.1190186,10462.8
764.1688232,11597.8
764.218689,14080.2
764.2684937,17727.1
764.3182983,24351.2
764.368103,32862.5
764.4179688,42719
764.4677734,47798.6
764.5175781,39918.6
764.5673828,26429.8
764.6172485,17066.6
764.6670532,13190.1
764.7168579,11779.1
764.7666626,11405.5
